"State","Region","Assessment Unit ID","Cycle","Report 305b","Map 305b","Water Status","Water Name","Water Type","Water Size","Size Unit","Water Type Group","Location","Monitoring Scheduled Date","Miles 305b","Acres 305b","IR Flag","Current Year Flag","AssessedFlag","Trophic Status"
"ND","8","ND-10130202-001-S_00","2016","<a href=""JavaScript: newWindow = report305b('ND-10130202-001-S_00'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('ND-10130202-001-S_00'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Green River","RIVER","14.33","MILES","STREAM/CREEK/RIVER","Green River from its confluence with Russian Spring Creek downstream to its confluence with the Heart River. Located in Stark County.","-","-","-","Y","Y","Y","-"
"ND","8","ND-10130202-002-L_00","2016","<a href=""JavaScript: newWindow = report305b('ND-10130202-002-L_00'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('ND-10130202-002-L_00'); newWindow.focus()"">Map Assessed Water</a>","THREATENED","Patterson Lake","FRESHWATER RESERVOIR","1191","ACRES","LAKE/RESERVOIR/POND","A 1191 acre Bureau of Reclamation reservoir located on the Heart River near Dickinson in Stark County, North Dakota.","-","-","-","Y","Y","Y","E"
"ND","8","ND-10130202-002-S_00","2016","<a href=""JavaScript: newWindow = report305b('ND-10130202-002-S_00'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('ND-10130202-002-S_00'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Heart River","RIVER","18.38","MILES","STREAM/CREEK/RIVER","Heart River from its confluence with Govt' Creek downstream to Lake Tschida. Located in Stark and Grant County.","-","-","-","Y","Y","Y","-"
"ND","8","ND-10130202-003-L_00","2016","<a href=""JavaScript: newWindow = report305b('ND-10130202-003-L_00'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('ND-10130202-003-L_00'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Belfield Dam","FRESHWATER RESERVOIR","7.13","ACRES","LAKE/RESERVOIR/POND","A 7.13 acre impoundment in Stark County, North Dakota.","-","-","-","Y","Y","Y","E"
"ND","8","ND-10130202-003-S_00","2016","<a href=""JavaScript: newWindow = report305b('ND-10130202-003-S_00'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('ND-10130202-003-S_00'); newWindow.focus()"">Map Assessed Water</a>","THREATENED","Heart River","RIVER","15.65","MILES","STREAM/CREEK/RIVER","Heart River from its confluence with South Branch Heart River downstream to Patterson Lake. Located in Stark County.","-","-","-","Y","Y","Y","-"
"ND","8","ND-10130202-004-L_00","2016","<a href=""JavaScript: newWindow = report305b('ND-10130202-004-L_00'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('ND-10130202-004-L_00'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Dickinson Dike","FRESHWATER RESERVOIR","20.42","ACRES","LAKE/RESERVOIR/POND","This is a small reservoir on the SW side of the town of Dickinson in Stark County.  ","-","-","-","Y","Y","Y","M"
"ND","8","ND-10130202-004-S_00","2016","<a href=""JavaScript: newWindow = report305b('ND-10130202-004-S_00'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('ND-10130202-004-S_00'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Tributaries To The Heart River","RIVER","147.14","MILES","STREAM/CREEK/RIVER","Unnamed tributaries to the Heart River (ND-10130202-002-S). Located in Stark, Grant, and Hettinger County.","-","-","-","Y","Y","Y","-"
"ND","8","ND-10130202-005-S_00","2016","<a href=""JavaScript: newWindow = report305b('ND-10130202-005-S_00'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('ND-10130202-005-S_00'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Tributaries To The Heart River","RIVER","21.32","MILES","STREAM/CREEK/RIVER","Unnamed tributaries to the Heart River (ND-10130202-003-S). Located in Stark County.","-","-","-","Y","Y","Y","-"
"ND","8","ND-10130202-006-S_00","2016","<a href=""JavaScript: newWindow = report305b('ND-10130202-006-S_00'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('ND-10130202-006-S_00'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Tributaries To The Green River","RIVER","27.51","MILES","STREAM/CREEK/RIVER","Unnamed tributaries to the Green River (ND-10130202-001-S). Located in Stark County.","-","-","-","Y","Y","Y","-"
"ND","8","ND-10130202-007-S_00","2016","<a href=""JavaScript: newWindow = report305b('ND-10130202-007-S_00'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('ND-10130202-007-S_00'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Tributaries To Lake Tschida","RIVER","37.86","MILES","STREAM/CREEK/RIVER","Unnamed tributaries to Lake Tschida, located in Grant County.","-","-","-","Y","Y","Y","-"
