State,Region
Maine,1
New Hampshire,1
Vermont,1
Massachusetts,1
Rhode Island,1
Connecticut,1
New York,2
New Jersey,2
Pennsylvania,3
Delaware,3
Maryland,3
Virginia,3
West Virginia,3
Kentucky,4
North Carolina,4
South Carolina,4
Tennessee,4
Mississippi,4
Alabama,4
Georgia,4
Florida,4
Minnesota,5
Wisconsin,5
Michigan,5
Illinois,5
Indiana,5
Ohio,5
Arkansas,6
Louisiana,6
Oklahoma,6
Texas,6
New Mexico,6
Nebraska,7
Iowa,7
Kansas,7
Missouri,7
Montana,8
North Dakota,8
South Dakota,8
Wyoming,8
Colorado,8
Utah,8
California,9
Nevada,9
Arizona,9
Hawaii,9
Washington,10
Oregon,10
Idaho,10
Alaska,10
