"State","Region","Assessment Unit ID","Cycle","Report 305b","Map 305b","Water Status","Water Name","Water Type","Water Size","Size Unit","Water Type Group","Location","Monitoring Scheduled Date","Miles 305b","Acres 305b","IR Flag","Current Year Flag","AssessedFlag","Trophic Status"
"OK","6","OK310840020100_00","2014","<a href=""JavaScript: newWindow = report305b('OK310840020100_00'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('OK310840020100_00'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Beaverdam Creek","RIVER","8.61","MILES","STREAM/CREEK/RIVER","HUC: 11130301","2013","-","-","Y","Y","N","-"
"OK","6","OK310840020110_00","2014","<a href=""JavaScript: newWindow = report305b('OK310840020110_00'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('OK310840020110_00'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Wild Horse Creek","RIVER","11.28","MILES","STREAM/CREEK/RIVER","HUC: 11130301","2013","-","-","Y","Y","N","-"
"OK","6","OK310840020120_00","2014","<a href=""JavaScript: newWindow = report305b('OK310840020120_00'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('OK310840020120_00'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Dead Indian Creek","RIVER","15.65","MILES","STREAM/CREEK/RIVER","HUC: 11130301","2013","-","-","Y","Y","N","-"
"OK","6","OK310840020130_00","2014","<a href=""JavaScript: newWindow = report305b('OK310840020130_00'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('OK310840020130_00'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Dead Indian Lake","FRESHWATER LAKE","79","ACRES","LAKE/RESERVOIR/POND","HUC: 11130301","2016","-","-","Y","Y","N","M"
"OK","6","OK310840020140_00","2014","<a href=""JavaScript: newWindow = report305b('OK310840020140_00'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('OK310840020140_00'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Sergeant Major Creek","RIVER","11.55","MILES","STREAM/CREEK/RIVER","HUC: 11130301","2013","-","-","Y","Y","N","-"
"OK","6","OK310840020150_00","2014","<a href=""JavaScript: newWindow = report305b('OK310840020150_00'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('OK310840020150_00'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Dry Creek","RIVER","5.33","MILES","STREAM/CREEK/RIVER","HUC: 11130301","2013","-","-","Y","Y","N","-"
"OK","6","OK310840020160_00","2014","<a href=""JavaScript: newWindow = report305b('OK310840020160_00'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('OK310840020160_00'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Sergeant Major Creek, East Fork","RIVER","5.7","MILES","STREAM/CREEK/RIVER","HUC: 11130301","2013","-","-","Y","Y","Y","-"
"OK","6","OK310840020170_00","2014","<a href=""JavaScript: newWindow = report305b('OK310840020170_00'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('OK310840020170_00'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Plum Creek","RIVER","4.11","MILES","STREAM/CREEK/RIVER","HUC: 11130301","2013","-","-","Y","Y","N","-"
"OK","6","OK310840020180_00","2014","<a href=""JavaScript: newWindow = report305b('OK310840020180_00'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('OK310840020180_00'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Brokenleg Creek","RIVER","8","MILES","STREAM/CREEK/RIVER","HUC: 11130301","2013","-","-","Y","Y","N","-"
"OK","6","OK310840020190_00","2014","<a href=""JavaScript: newWindow = report305b('OK310840020190_00'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('OK310840020190_00'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Croton Creek","RIVER","16.14","MILES","STREAM/CREEK/RIVER","HUC: 11130301","2013","-","-","Y","Y","N","-"
"OK","6","OK310840020200_00","2014","<a href=""JavaScript: newWindow = report305b('OK310840020200_00'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('OK310840020200_00'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Croton Creek, East","RIVER","7.3","MILES","STREAM/CREEK/RIVER","HUC: 11130301","2013","-","-","Y","Y","N","-"
